model,size,N,h,solver,sampler,cem,rbm,n_hidden,lr,reg,seed,sigma,n_samples,total_iters,conv_iter,converged,distance_at_conv,exact_energy_per_spin,energy_at_conv,avg_sampling_time_s,mean_sampling_time_all_s,distance_final,final_kl_exact,final_ess,time_to_conv_s,time_total_s
2d,10,100,2.0,lsb,custom,True,full,100,0.01,1e-05,4,1.0,1000,300,65,True,,,-2.4582014515529225,0.051472973078489304,0.05182692745079597,,,0.13926007257373604,3.368750284301738,15.548078235238792
2d,10,100,2.0,lsb,custom,True,full,100,0.01,1e-05,5,1.0,1000,300,70,True,,,-2.460204152797681,0.05064706224948168,0.050868152777353924,,,0.1403926394858618,3.560770694414775,15.260445833206177
2d,10,100,3.044,lsb,custom,True,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,,,-3.4585506261598917,0.05108757670968771,0.050816261321306226,,,0.06327017102641158,14.228553169965743,15.244878396391869
2d,10,100,3.044,lsb,custom,True,full,100,0.01,1e-05,1,1.0,1000,300,71,True,,,-3.253895554215724,0.05125916451215744,0.05114836789667607,,,0.0017199537000876645,3.631534120664001,15.34451036900282
2d,10,100,3.044,lsb,custom,True,full,100,0.01,1e-05,2,1.0,1000,300,84,True,,,-3.236028216042456,0.050479333847761154,0.051337052670617896,,,0.001597117972382607,4.312312424331903,15.40111580118537
2d,10,100,3.044,lsb,custom,True,full,100,0.01,1e-05,3,1.0,1000,300,74,True,,,-3.240934267830588,0.05023530796170235,0.05080096098283927,,,0.002407011167192803,3.7592711127301057,15.24028829485178
2d,10,100,3.044,lsb,custom,True,full,100,0.01,1e-05,4,1.0,1000,300,79,True,,,-3.2387995126730935,0.051630761846899985,0.050926343065996964,,,0.001552593479782083,4.02318110221376,15.27790291979909
2d,10,100,3.044,lsb,custom,True,full,100,0.01,1e-05,5,1.0,1000,300,79,True,,,-3.2415034580667275,0.051256145164370534,0.05167544269313415,,,0.0015260279865600748,4.082359972757597,15.502632807940245
2d,10,100,0.5,metropolis,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,61,True,,,-2.029156562555125,1.7273314025253057,1.6891263312101363,,,0.63587864901351,103.03670620381831,506.7378993630409
2d,10,100,0.5,metropolis,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,60,True,,,-2.0289214530920434,1.6087315060198306,1.7157032381370663,,,0.650987609919001,102.94219428822397,514.7109714411199
2d,10,100,0.5,metropolis,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,62,True,,,-2.0292175545689353,1.6761779632419347,1.6801941199228168,,,0.6700575841165217,104.17203543521464,504.058235976845
2d,10,100,0.5,metropolis,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,60,True,,,-2.029011324108292,1.6456207862123846,1.6654102988044421,,,0.6811732450061607,99.92461792826653,499.6230896413326
2d,10,100,0.5,metropolis,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,60,True,,,-2.0288273060545894,1.5870085256174207,1.6583204371233782,,,0.6199187650598631,99.49922622740269,497.49613113701344
2d,10,100,1.0,metropolis,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,64,True,,,-2.1231399928223285,1.9830276634544135,2.074179828427732,,,0.18815942991330517,132.74750901937486,622.2539485283197
2d,10,100,1.0,metropolis,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,65,True,,,-2.1228578086352625,1.841495238058269,1.905564701979359,,,0.22913250780502797,123.86170562865833,571.6694105938077
2d,10,100,1.0,metropolis,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,60,True,,,-2.1230319614825097,1.7583403412252665,1.8089531816417972,,,0.20745343115677622,108.53719089850783,542.6859544925392
2d,10,100,1.0,metropolis,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,63,True,,,-2.1227834966927013,1.7710800308734178,1.804615562868615,,,0.19364627474174506,113.69078046072273,541.3846688605845
2d,10,100,1.0,metropolis,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,63,True,,,-2.123017953914511,1.7175789803266526,1.8078978746632735,,,0.20328747167703035,113.89756610378623,542.369362398982
2d,10,100,2.0,metropolis,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,70,True,,,-2.503411844144719,2.1885546365752817,2.2009542835503817,,,0.0030910181699753763,154.06679984852673,660.2862850651145
2d,10,100,2.0,metropolis,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,78,True,,,-2.5035402712223904,2.179748438112438,2.202953100986779,,,0.0026246374961285367,171.83034187696876,660.8859302960336
2d,10,100,2.0,metropolis,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,72,True,,,-2.5039398642558752,2.1652884159237145,2.192230528357128,,,0.0031605893866948225,157.84059804171324,657.6691585071385
2d,10,100,2.0,metropolis,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,73,True,,,-2.5033283835110263,2.142464349977672,2.1831975076099237,,,0.003588739381238792,159.37341805552444,654.9592522829771
2d,10,100,2.0,metropolis,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,75,True,,,-2.5046515188331777,2.1666429882869123,2.1973895274102686,,,0.002376747347982779,164.80421455577016,659.2168582230806
2d,10,100,3.044,metropolis,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,47,True,,,-3.2014219621597304,2.281920229643583,2.281481213743488,,,0.002958398209320031,107.22961704594394,684.4443641230464
2d,10,100,3.044,metropolis,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,47,True,,,-3.2007759735096024,2.266190774925053,2.2648895361771184,,,0.0065850217111730345,106.44980820032457,679.4668608531355
2d,10,100,3.044,metropolis,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,46,True,,,-3.2001774481162952,2.264739632420242,2.265038746756812,,,0.002717243107788471,104.19178235081336,679.5116240270436
2d,10,100,3.044,metropolis,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,50,True,,,-3.2019753560494246,2.2658850779756903,2.265292580462992,,,0.0019263722253682251,113.2646290231496,679.5877741388975
2d,10,100,3.044,metropolis,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,47,True,,,-3.200111986936738,2.2659053245559333,2.265095406236748,,,0.003233304007072238,106.45948409312714,679.5286218710244
1d,100,100,0.5,gibbs,custom,False,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,0.526016051062349,-1.063544409973365,-0.537528358911016,0.037179783545434476,0.047721481236318745,0.526016051062349,,0.7856753453737154,13.36201474616925,14.316444370895624
1d,100,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,184,True,0.007059957050560062,-1.063544409973365,-1.056484452922805,0.048961115069687366,0.04735659579435984,0.0009549003840969572,,0.19539967101435687,8.71361362616221,14.206978738307953
1d,100,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,248,True,0.027562234120168005,-1.063544409973365,-1.035982175853197,0.04623215552419424,0.05243456417073806,0.024299414603221825,,0.13228213134592737,13.003771914343039,15.730369251221418
1d,100,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,175,True,0.023514996414176537,-1.063544409973365,-1.0400294135591885,0.04714362286031246,0.046456396244466305,0.020241141691492492,,0.02255183932165102,8.129869342781603,13.936918873339891
1d,100,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,187,True,0.005240664002128748,-1.063544409973365,-1.0583037459712363,0.0384322177618742,0.04444489846626917,0.00046515948104919325,,0.20210071668709675,8.311196013192335,13.333469539880753
1d,100,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,175,True,0.049775231216128146,-1.063544409973365,-1.013769178757237,0.05049645956605673,0.04651507926483949,0.03670390845089355,,0.06832507350469345,8.140138871346911,13.954523779451847
1d,100,100,1.0,gibbs,custom,False,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,0.23808647958202567,-1.2732919061200112,-1.0352054265379855,0.04139084033668041,0.04341945049663385,0.23808647958202567,,0.804999266409993,12.157446139057479,13.025835148990154
1d,100,100,1.0,gibbs,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,233,True,0.027467819304851426,-1.2732919061200112,-1.2458240868151598,0.041714179888367654,0.04534211171170076,0.02314096787794062,,0.006578016510859837,10.564712028826277,13.602633513510227
1d,100,100,1.0,gibbs,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,206,True,0.03297692525156881,-1.2732919061200112,-1.2403149808684424,0.04008071050047875,0.04506964116046826,0.026583578816126385,,0.00156222433461561,9.28434607905646,13.520892348140476
